Designator,Mid X,Mid Y,Rotation,Layer
BOOTSEL,143.6,-73.4,0,top
C1,121.8,-94.7,270,top
C10,120.95,-67.35,180,top
C11,117.3,-73.9,180,top
C12,126,-80,270,top
C13,117.7,-77.8,180,top
C15,117.6,-72.95,180,top
C16,118.5,-68.4,180,top
C17,128.2,-76.6,270,top
C18,128.1,-66.55,90,top
C19,120.3,-55.4,0,top
C2,132.75,-68.35,0,top
C20,123.5,-83.4,180,top
C21,123.4,-82.4,180,top
C22,130.149999,-82.3,180,top
C23,130.149999,-83.3,180,top
C24,125.6,-88.5,270,top
C25,131,-88.7,180,top
C26,133.1,-87.3,90,top
C27,136.3,-90.6,180,top
C28,136.6,-81.1,0,top
C29,136.6,-80.1,0,top
C3,125.95,-67.5,0,top
C30,134.7,-81.8,0,top
C31,134.7,-80.8,0,top
C32,139.8,-90.6,0,top
C33,134.4,-90.6,0,top
C34,140,-91.6,0,top
C35,134.4,-91.6,0,top
C36,136,-93.3,180,top
C37,140,-93.3,0,top
C38,141.5,-90.3,90,top
C39,146.6,-95.2,180,top
C4,122.4,-66.15,90,top
C40,148.8,-88.4,180,top
C41,143.5,-86,0,top
C42,144.5,-95.1,0,top
C43,131.9,-64,0,top
C44,120.4,-63.8,0,top
C45,117.8,-76.8,180,top
C46,129.9,-71.6,0,top
C47,137.4,-63.8,0,top
C48,107.7,-79.1,270,top
C49,106.8,-69.7,270,top
C5,118.5,-94.7,270,top
C50,139.8,-67.4,0,top
C51,118.3,-55.4,0,top
C52,116.3,-55.4,0,top
C53,114.3,-55.4,180,top
C54,122.3,-55.4,0,top
C55,129.8,-55.4,0,top
C56,126.8,-55.4,180,top
C57,124.3,-55.4,0,top
C58,110.65,-55.55,0,top
C59,144.9,-83.4,270,top
C6,121.5,-77.7,180,top
C7,121.5,-78.65,180,top
C8,129.4,-73.75,0,top
C9,119.3,-78.15,90,top
J1,116.35,-93.454786,270,bottom
L1,121.5,-80.3,180,top
Q2,143.9,-58.35,270,top
R1,139.3,-75.9,180,top
R14,142.6,-80.8,90,top
R15,137.5,-92.8,270,top
R16,138.5,-92.8,270,top
R17,114.9,-90.95,90,top
R18,114.9,-88.75,90,top
R19,148.5,-93.9,270,top
R2,123.95,-67.5,180,top
R20,128.8,-64,0,top
R21,130.25,-63.99,90,top
R22,116.9,-63.8,0,top
R23,118.7,-64.3,90,top
R24,143.8,-83,90,top
R28,134,-63.8,0,top
R29,135.7,-64.3,90,top
R3,120.2,-94.9,270,top
R30,107.7,-76,270,top
R31,108.2,-77.5,180,top
R32,106.8,-66.5,270,top
R33,107.3,-68.1,180,top
R35,143.6,-61.1,0,top
R36,144.35,-55.65,0,top
R37,129.2,-92.9,90,top
R38,127.2,-93.3,180,top
R39,138.6,-55.5,0,top
R4,148.8,-72.2,270,top
R40,142.4,-69.3,180,top
R41,137.2,-66.2,0,top
R42,142.4,-70.5,180,top
R43,140.4,-64.8,180,top
R5,119.3,-80,90,top
R6,139,-74.5,0,top
R7,124.9,-79.6,90,top
R8,123.9,-79.6,90,top
U1,123.5,-73.1,180,top
U10,134.2,-73.6,0,top
U2,120.2,-91.993655,180,top
U3,112.3,-88.25,270,top
U4,120,-87.5,270,top
U5,137.2,-86.2,0,top
U6,144.9,-90.6,270,top
U7,119.990762,-83.798581,90,top
U8,123.5,-86.1,270,top
U9,130.2,-86.1,270,top
Y1,125.15,-65.15,180,top
